Дата		 Температура днём	 По ощущениям днём	 Температура ночью
24-11-2020         7.89                 1.01               4.56
25-11-2020         6.59                 1.51               5.29
26-11-2020         6.97                 4.89               8.48
27-11-2020         11.56                 5.83               9.99
28-11-2020         11.17                 6.52               8.49
29-11-2020         6.15                 1.11               4.54
30-11-2020         7.89                 3.90               7.51
01-12-2020         6.06                 0.52               6.06
02-12-2020         5.15                -0.58               4.18
03-12-2020         6.55                 0.93               5.60
